web-scraper-order,web-scraper-start-url,article_link,article_link-href,details,etat,adresse,prix,image_lien-src
"1717211821-32","https://www.expat-dakar.com/climatisation?page=17","SPLIT SMART TECHNOLOGY 18000BTU INVERTER GAZ
Neuf
Fass,
Dakar

2. mai, 11:54

260 000 F Cfa

778546592","https://www.expat-dakar.com/annonce/split-smart-technology-18000btu-inverter-gaz-6061374","SPLIT SMART TECHNOLOGY 18000BTU INVERTER GAZ","Neuf","Fass

Dakar","260 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f0b50b5764f039bb21649c0ae9d6e196/-/horizon-files-prod/ed/picture/q8v5emd0/b44d3060e46adfa67fceea70c8a1c0307466592e.jpg"
"1717211823-33","https://www.expat-dakar.com/climatisation?page=17","Split Beko 9000btu r410 1.25cv
Neuf
Colobane,
Dakar

3. mai, 10:57

170 000 F Cfa

776164045","https://www.expat-dakar.com/annonce/split-beko-9000btu-r410-125cv-6055045","Split Beko 9000btu r410 1.25cv","Neuf","Colobane

Dakar","170 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1ef7e7e061171658a58afc009ffa8b9f/-/horizon-files-prod/ed/picture/q78524gx/74473c486784bf7135835d8103419f4e37905a6e.png"
"1717211827-34","https://www.expat-dakar.com/climatisation?page=17","TENGO Ventilateur Et Climatiseur à Eau TG15A
Neuf
Castor,
Dakar

4. mai, 05:56

55 000 F Cfa

771452029

762809427","https://www.expat-dakar.com/annonce/tengo-ventilateur-et-climatiseur-a-eau-tg15a-5757775","TENGO Ventilateur Et Climatiseur à Eau TG15A","Neuf","Castor

Dakar","55 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0996d58b7a3d9be64750d9dc5baab603/-/horizon-files-prod/ed/picture/q44dqg54/74678652d902e76c94533bbeb918713032a1e82a.jpg"
"1717211830-35","https://www.expat-dakar.com/climatisation?page=17","Ventilateur plafonnier binatone
Neuf
Ouakam,
Dakar

4. mai, 09:57

Vendeur vérifié

21 900 F Cfa

25 000 F Cfa

Économisez 12.4%

770521414

709557473","https://www.expat-dakar.com/annonce/ventilateur-plafonnier-binatone-6062711","Ventilateur plafonnier binatone","Neuf","Ouakam

Dakar","21 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/85d67aca1f9204eefcb9265f1ba190b9/-/horizon-files-prod/ed/picture/qxj20k8v/6c8515b3093853a4de4868ccd84574d8886088eb.jpg"
"1717211832-36","https://www.expat-dakar.com/climatisation?page=17","SPLIT FINIX 3CV 24000BTU R410 A+
Neuf
Plateau,
Dakar

4. mai, 10:39

298 000 F Cfa

770723466","https://www.expat-dakar.com/annonce/split-finix-3cv-24000btu-r410-a-6062740","SPLIT FINIX 3CV 24000BTU R410 A+","Neuf","Plateau

Dakar","298 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d2598b1403015f2899a04df6dcc9d2a4/-/horizon-files-prod/ed/picture/qdekv2dw/2731ec2f21905e4378e97a7e0c8372806dbe02e6.jpg"
"1717211835-37","https://www.expat-dakar.com/climatisation?page=17","SPLIT TCL 12000 BTU 2.5 CV
Neuf
Plateau,
Dakar

4. mai, 11:15

Vendeur vérifié

275 000 F Cfa

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/split-tcl-12000-btu-25-cv-5354734","SPLIT TCL 12000 BTU 2.5 CV","Neuf","Plateau

Dakar","275 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c390b76c45ae2006e0012ac27ad2e6e/-/horizon-files-prod/ed/picture/qm5m2x4m/38a4cf10efd56f213d8bbcc4e223996dfe379e48.jpg"
"1717211838-38","https://www.expat-dakar.com/climatisation?page=17","CLIMATISEUR ROCH PORTATIF 12000BTU RAC-P12R4- A
Neuf
Plateau,
Dakar

4. mai, 11:16

Vendeur vérifié

250 000 F Cfa

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/climatiseur-roch-portatif-12000btu-rac-p12r4-a-5804604","CLIMATISEUR ROCH PORTATIF 12000BTU RAC-P12R4- A","Neuf","Plateau

Dakar","250 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/991299161873e5d2fa9a58a4e7e25046/-/horizon-files-prod/ed/picture/q9m8q84x/d11d486225e60e54e16186de3a47dbab0bcb4dc4.jpg"
"1717211841-39","https://www.expat-dakar.com/climatisation?page=17","CLIMATISEUR BEKO PORTATIF 9000BTU BPN 109C
Neuf
Plateau,
Dakar

4. mai, 11:18

Vendeur vérifié

210 000 F Cfa

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/climatiseur-beko-portatif-9000btu-bpn-109c-5804591","CLIMATISEUR BEKO PORTATIF 9000BTU BPN 109C","Neuf","Plateau

Dakar","210 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0240a5cd9b686c1cc22bf1bff2b9a9c1/-/horizon-files-prod/ed/picture/q0g2j2mg/42f01498209ee44c3d64661b1be4319a50e76757.jpg"
"1717211847-40","https://www.expat-dakar.com/climatisation?page=17","SPLIT ELACTRON 9000BTU A++
Neuf
Ouakam,
Dakar

4. mai, 15:24

Vendeur vérifié

144 900 F Cfa

160 000 F Cfa

Économisez 9.4%

770521414

709557473","https://www.expat-dakar.com/annonce/split-elactron-9000btu-a-5791180","SPLIT ELACTRON 9000BTU A++","Neuf","Ouakam

Dakar","144 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a43e7e57b8978bb031f165c9fd821443/-/horizon-files-prod/ed/picture/qkr5k472/aed5eef8caacd766009f4ef0231394485ceebd29.jpg"
"1717211858-41","https://www.expat-dakar.com/climatisation?page=16","CLIMATISEUR SPLIT BEKO 18000BTU 2.5 CV R410
Neuf
Plateau,
Dakar

vendredi, 11:58

285 000 F Cfa

295 000 F Cfa

Économisez 3.4%

775267261","https://www.expat-dakar.com/annonce/climatiseur-split-beko-18000btu-25-cv-r410-3003297","CLIMATISEUR SPLIT BEKO 18000BTU 2.5 CV R410","Neuf","Plateau

Dakar","285 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/706e29a2611ef8d822a0c505a965a402/-/horizon-files-prod/ed/picture/q4qk48m/a77a29464f8f60bcc7e72ccada394079997317ca.jpg"
"1717211861-42","https://www.expat-dakar.com/climatisation?page=16","LG 1.5 Split Normal
Neuf
Plateau,
Dakar

4. mai, 18:14

773248500","https://www.expat-dakar.com/annonce/lg-15-split-normal-6050791","LG 1.5 Split Normal","Neuf","Plateau

Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4e8ab6237c372fb780ae8fcbbcaf7b8a/-/horizon-files-prod/ed/picture/q0gwrkxm/c8604734ad6689485c85a12640b0e314d90cb0e8.png"
"1717211864-43","https://www.expat-dakar.com/climatisation?page=16","SPLIT Astech 12000 BTU
Neuf
Plateau,
Dakar

4. mai, 18:15

773248500","https://www.expat-dakar.com/annonce/split-astech-12000-btu-6050848","SPLIT Astech 12000 BTU","Neuf","Plateau

Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d66c2689e942dc58869c0a68cd9019ff/-/horizon-files-prod/ed/picture/q9m97kv6/46be4c09bb8d9ae0087471acba61063723c24ef0.jpg"
"1717211868-44","https://www.expat-dakar.com/climatisation?page=16","SPLIT SMART TECHNOLOGIE 1.5cv 12.0000 btu
Neuf
Almadies,
Dakar

6. mai, 11:32

178 000 F Cfa

775700721","https://www.expat-dakar.com/annonce/split-smart-technologie-15cv-120000-btu-5789668","SPLIT SMART TECHNOLOGIE 1.5cv 12.0000 btu","Neuf","Almadies

Dakar","178 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/732e185faf8091aa70b1cf78d7ed5d3c/-/horizon-files-prod/ed/picture/qv4prjpj/a33388c96a571d37803205b39a51252b7562f574.jpg"
"1717211870-45","https://www.expat-dakar.com/climatisation?page=16","CLIMATISEUR 1.5 CV A++ ELACTRON
Neuf
Plateau,
Dakar

7. mai, 11:18

165 000 F Cfa

779152473

776784088","https://www.expat-dakar.com/annonce/climatiseur-15-cv-a-elactron-6063813","CLIMATISEUR 1.5 CV A++ ELACTRON","Neuf","Plateau

Dakar","165 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c72e9c7fc5ca3ff3c49765a8c47e48f/-/horizon-files-prod/ed/picture/qgq9nz0n/66e965c3bcd0225733e785738360086e044509b8.jpg"
"1717211873-46","https://www.expat-dakar.com/climatisation?page=16","VENTILO A EAU BINATONE
Neuf
Plateau,
Dakar

6. mai, 13:30

75 000 F Cfa

779152473

776784088","https://www.expat-dakar.com/annonce/ventilo-a-eau-binatone-6063816","VENTILO A EAU BINATONE","Neuf","Plateau

Dakar","75 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/47263fdba3a7d0e79ed3ad8c0c5e39dc/-/horizon-files-prod/ed/picture/qpd6z2qp/e08367a414c1b9f6eb6e23c9444bd06bf5271c6f.jpg"
